Individual ,Sire,Dam,Family,Culture,Length,Block,pH,photo_ID,Malformed
217,S2,D2,4,3,108.575,1,8.1,c6_3_3.tif,yes
218,S2,D2,4,3,117.689,1,8.1,c6_3_4.tif,no
219,S2,D2,4,3,118.655,1,8.1,c6_3_4.tif,no
220,S2,D2,4,3,118.372,1,8.1,c6_3_5.tif,no
221,S2,D2,4,3,119.808,1,8.1,c6_3_6.tif,no
222,S2,D2,4,3,118.263,1,8.1,c6_3_7.tif,no
223,S2,D2,4,3,109.998,1,8.1,c6_3_9.tif,no
224,S2,D2,4,3,113.701,1,8.1,c6_3_10-1.tif,no
225,S2,D2,4,3,112.223,1,8.1,c6_3_11.tif,no
226,S2,D2,4,3,112.915,1,8.1,c6_3_12.tif,no
227,S2,D2,4,3,110.334,1,8.1,c6_3_13.tif,no
228,S2,D2,4,3,107.636,1,8.1,c6_3_14.tif,yes
229,S2,D2,4,3,115.186,1,8.1,c6_3_15.tif,yes
230,S2,D2,4,3,117.738,1,8.1,c6_3_16.tif,no
231,S2,D2,4,3,112.679,1,8.1,c6_3_17.tif,no
232,S2,D2,4,3,115.94,1,8.1,c6_3_17.tif,no
233,S2,D2,4,3,117.44,1,8.1,c6_3_18.tif,no
234,S2,D2,4,3,115.448,1,8.1,c6_3_19.tif,no
235,S1,D1,1,1,113.053,1,7.5,T3_1_.tif,yes
236,S1,D1,1,1,105.165,1,7.5,T3_1_1.tif,yes
237,S1,D1,1,1,110.242,1,7.5,T3_1_1.tif,no
238,S1,D1,1,1,105.803,1,7.5,T3_1_2.tif,no
239,S1,D1,1,1,103.972,1,7.5,T3_1_3.tif,yes
240,S1,D1,1,1,101.741,1,7.5,T3_1_4.tif,yes
241,S1,D1,1,1,114.767,1,7.5,T3_1_5.tif,no
242,S1,D1,1,1,104.749,1,7.5,T3_1_7.tif,yes
243,S1,D1,1,1,86.112,1,7.5,T3_1_7.tif,yes
244,S1,D1,1,1,101.448,1,7.5,T3_1_8.tif,no
245,S1,D1,1,1,95.269,1,7.5,T3_1_8.tif,yes
246,S1,D1,1,1,113.162,1,7.5,T3_1_9.tif,no
247,S1,D1,1,1,103.266,1,7.5,T3_1_10.tif,yes
248,S1,D1,1,1,110.397,1,7.5,T3_1_11.tif,no
249,S1,D1,1,1,106.539,1,7.5,T3_1_12.tif,yes
250,S1,D1,1,1,99.012,1,7.5,T3_1_13.tif,yes
251,S1,D1,1,1,111.761,1,7.5,T3_1_14.tif,yes
252,S1,D1,1,1,90.266,1,7.5,T3_1_15.tif,yes
253,S1,D1,1,1,106.066,1,7.5,T3_1_16.tif,no
254,S1,D1,1,1,112.253,1,7.5,T3_1_17.tif,no
255,S1,D1,1,2,106.432,1,7.5,T3_2_-1.tif,yes
256,S1,D1,1,2,101.724,1,7.5,T3_2_1.tif,yes
257,S1,D1,1,2,107.357,1,7.5,T3_2_1.tif,no
258,S1,D1,1,2,105.308,1,7.5,T3_2_1.tif,yes
259,S1,D1,1,2,102.455,1,7.5,T3_2_1.tif,yes
260,S1,D1,1,2,108.421,1,7.5,T3_2_1.tif,no
261,S1,D1,1,2,101.687,1,7.5,T3_2_1.tif,yes
262,S1,D1,1,2,106.952,1,7.5,T3_2_2.tif,no
263,S1,D1,1,2,110.523,1,7.5,T3_2_2.tif,no
264,S1,D1,1,2,106.294,1,7.5,T3_2_2.tif,no
265,S1,D1,1,2,108.644,1,7.5,T3_2_2.tif,no
266,S1,D1,1,2,107.796,1,7.5,T3_2_2.tif,no
267,S1,D1,1,2,106.049,1,7.5,T3_2_2.tif,no
268,S1,D1,1,2,106.185,1,7.5,T3_2_2.tif,no
269,S1,D1,1,2,108.964,1,7.5,T3_2_2.tif,no
270,S1,D1,1,2,98.217,1,7.5,T3_2_3.tif,yes
271,S1,D1,1,2,108.158,1,7.5,T3_2_4.tif,yes
272,S1,D1,1,2,101.542,1,7.5,T3_2_5.tif,no
273,S1,D1,1,2,94.628,1,7.5,T3_2_6.tif,yes
274,S1,D1,1,2,100.643,1,7.5,T3_2_6.tif,yes
275,S1,D1,1,3,109.37,1,7.5,T3_3_.tif,no
276,S1,D1,1,3,91.049,1,7.5,T3_3_1.tif,yes
277,S1,D1,1,3,110.865,1,7.5,T3_3_1.tif,no
278,S1,D1,1,3,87.575,1,7.5,T3_3_2.tif,yes
279,S1,D1,1,3,108.593,1,7.5,T3_3_3.tif,no
280,S1,D1,1,3,103.488,1,7.5,T3_3_4.tif,yes
281,S1,D1,1,3,106.662,1,7.5,T3_3_5.tif,yes
282,S1,D1,1,3,112.572,1,7.5,T3_3_6.tif,no
283,S1,D1,1,3,114.891,1,7.5,T3_3_8.tif,no
284,S1,D1,1,3,107.396,1,7.5,T3_3_9.tif,yes
285,S1,D1,1,3,101.792,1,7.5,T3_3_9.tif,yes
286,S1,D1,1,3,96.713,1,7.5,T3_3_10.tif,yes
287,S1,D1,1,3,89.668,1,7.5,T3_3_11.tif,yes
288,S1,D1,1,3,101.124,1,7.5,T3_3_11.tif,yes
289,S1,D1,1,3,104.787,1,7.5,T3_3_14.tif,yes
